elo_diff,is_home_advantage,home_attack_strength,home_defense_strength,away_attack_strength,away_defense_strength,tournament,home_score,away_score,home_team,away_team,date
-273.0,1,2.0,1.0,1.0,0.0,Friendly,0.0,1.0,Austria,Croatia,2010-05-19
-103.0,1,0.0,1.0,0.0,2.0,Friendly,2.0,1.0,Belgium,Bulgaria,2010-05-19
174.0,0,0.9493482923609965,0.507177033492823,1.321220365332297,1.321220365332297,Corsica Cup,3.0,0.0,Gabon,Togo,2010-05-19
-667.0,1,1.321220365332297,1.321220365332297,0.4778812572759022,0.46449359720605354,Friendly,0.0,3.0,Aruba,Venezuela,2010-05-20
-163.0,1,1.0,2.0,2.0,1.0,Friendly,2.0,0.0,Estonia,Finland,2010-05-21
317.0,1,1.0,0.0,0.0,1.0,Friendly,2.0,0.0,Croatia,Wales,2010-05-23
382.0,1,2.3666715910769685,0.7275816221007534,0.0,1.0,Friendly,5.0,0.0,Argentina,Canada,2010-05-24
248.0,1,1.5518716577540106,1.1037433155080214,0.0,2.0,Friendly,2.0,1.0,Australia,New Zealand,2010-05-24
129.0,1,3.0,1.0,1.4171640441309459,0.0,Friendly,3.0,1.0,England,Mexico,2010-05-24
-69.0,1,2.167853375527426,0.4067774261603376,0.4915410642879114,2.0,Friendly,1.0,1.0,South Africa,Bulgaria,2010-05-24
214.0,1,1.321220365332297,1.321220365332297,1.321220365332297,1.321220365332297,Friendly,4.0,0.0,Ukraine,Lithuania,2010-05-25
138.0,0,0.9245220466349873,0.7693667808597635,1.321220365332297,1.321220365332297,Friendly,0.0,0.0,Nigeria,Saudi Arabia,2010-05-25
-184.0,0,2.0,1.0,1.4036000416189782,1.4988034543751951,Friendly,0.0,0.0,Georgia,Cameroon,2010-05-25
-118.0,1,1.0,3.0,0.0,1.0,Friendly,3.0,1.0,Armenia,Uzbekistan,2010-05-25
153.0,1,1.0,2.0,1.0,0.0,Friendly,0.0,1.0,Montenegro,Albania,2010-05-25
266.0,1,0.9497457373616512,0.5148070595273706,1.2300426569165144,1.2423826934795856,Friendly,3.0,0.0,Chile,Zambia,2010-05-26
-367.0,1,1.5313688212927756,0.9372623574144486,1.3278825995807129,0.0,Friendly,0.0,0.0,Estonia,Croatia,2010-05-26
338.0,1,0.0,2.0,2.0,3.0,Friendly,2.0,1.0,France,Costa Rica,2010-05-26
249.0,0,2.0,1.0,1.353947671295941,0.45461520755006524,Friendly,2.0,1.0,Netherlands,Mexico,2010-05-26
137.0,1,3.0,1.0,2.0,0.0,Friendly,4.0,1.0,Uruguay,Israel,2010-05-26
-56.0,0,3.0,1.0,1.584985835694051,1.0,Friendly,2.0,2.0,Belarus,Honduras,2010-05-27
123.0,1,1.0,2.0,0.9666946543520851,0.5166526728239574,Friendly,2.0,0.0,Denmark,Senegal,2010-05-27
-133.0,1,1.9539041464728055,0.5154550350026925,1.321220365332297,1.321220365332297,Friendly,2.0,1.0,South Africa,Colombia,2010-05-27
68.0,1,0.797712833545108,0.40559085133418044,0.0,3.2161254199328106,Friendly,1.0,1.0,Venezuela,Canada,2010-05-29
-96.0,1,4.0,0.0,0.0,2.0,Friendly,3.0,2.0,Ukraine,Romania,2010-05-29
184.0,1,1.0,0.3293310463121784,2.0,1.0,Friendly,4.0,2.0,Sweden,Bosnia and Herzegovina,2010-05-29
542.0,0,2.0,0.0,0.0,0.0,Friendly,3.0,2.0,Spain,Saudi Arabia,2010-05-29
8.0,0,0.0,1.0,1.2164111812443643,1.2989179440937781,Friendly,1.0,1.0,Slovakia,Cameroon,2010-05-29
426.0,1,0.519774011299435,0.0,1.321220365332297,1.321220365332297,Friendly,4.0,0.0,Iceland,Andorra,2010-05-29
104.0,1,1.0,0.0,0.5003236245954693,1.5003236245954692,Friendly,2.0,1.0,Norway,Montenegro,2010-05-29
-232.0,0,0.48579387186629525,2.0,3.0,0.0,Friendly,1.0,0.0,New Zealand,Serbia,2010-05-29
