thread_id,estimate,error,time_us
466,3.176,0.0344074,283.648
467,2.98,0.161593,283.648
468,3.164,0.0224073,283.648
469,3.152,0.0104072,283.648
470,3.16,0.0184073,283.648
471,3.188,0.0464072,283.648
472,3.144,0.00240731,283.648
473,3.048,0.0935926,283.648
474,3.192,0.0504072,283.648
475,3.06,0.0815928,283.648
476,3.176,0.0344074,283.648
477,3.012,0.129593,283.648
478,3.008,0.133593,283.648
479,3.132,0.00959277,283.648
480,3.188,0.0464072,283.648
481,3.136,0.00559282,283.648
482,3.128,0.0135927,283.648
483,3.204,0.0624073,283.648
484,3.116,0.0255928,283.648
485,3.22,0.0784073,283.648
486,3.3,0.158407,283.648
487,3.16,0.0184073,283.648
488,3.108,0.0335927,283.648
489,3.148,0.00640726,283.648
490,3.112,0.0295928,283.648
491,3.096,0.0455928,283.648
492,3.12,0.0215929,283.648
493,3.164,0.0224073,283.648
494,3.124,0.0175927,283.648
495,3.072,0.0695927,283.648
496,3.204,0.0624073,283.648
497,3.152,0.0104072,283.648
498,3.056,0.0855927,283.648
499,3.2,0.0584073,283.648
